ACTIVITY;Libelle_ACTIVITY
BE;Industrie manufacturière, industries extractives et autres
F;Construction
G;"Commerce ; réparation d'automobiles et de motocycles"
H;Transports et entreposage
I;Hébergement et restauration
J;Information et communication
K;Activités financières et d'assurance
L;Activités immobilières
M;Activités spécialisées, scientifiques et techniques
N;Activités de services administratifs et de soutien
P;Enseignement
Q;Santé humaine et action sociale
R;Arts, spectacles et activités récréatives
S;Autres activités de services
BTSXO;"Industrie, construction et services (sauf administration publique et défense ; sécurité sociale obligatoire)"
